EmpCode,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,Success (Y),Tried (E),Not Tried (N)
183071,09:42 - 16:07,N,09:49 - 16:16,09:39 - 16:23,09:48 - 16:24,09:42 - 16:25,09:30 - 16:27,09:36 - 16:05,N,09:42 - 16:24,09:39 - 16:19,09:37 - 16:27,09:37 - 16:20,09:43 - 16:18,09:37 - 16:39,N,09:41 - 16:40,09:26 - 16:41,09:37 - 16:18,09:26 - 16:08,N,09:27 - 16:14,N,09:42 - 16:19,09:34 - 16:19,09:41 - 16:23,09:42 - 16:19,09:41 - 16:29,09:22 - 16:15,24,0,5
316110,N,N,09:47 - 17:00,09:47 - 16:55,09:47 - 16:49,09:57 - 16:49,09:49 - 16:51,09:47 - 16:51,N,09:51 - 16:42,09:52 - 16:48,09:39 - 16:50,09:50 - 16:51,09:51 - 16:44,09:49 - 16:45,N,09:49 - 17:16,09:54 - 16:53,09:50 - 17:01,09:48 - 17:04,N,09:51 - 16:47,N,09:48 - 17:03,13:36 - 16:53,09:49 - 16:53,09:47 - 16:48,09:48 - 16:55,09:49 - 16:53,23,0,6
293459,10:44 - 00:00,N,09:47 - 17:17,10:44 - 18:07,10:44 - 17:02,10:26 - 00:00,10:48 - 00:00,11:23 - 14:10,N,11:02 - 17:04,10:55 - 00:00,10:43 - 16:38,10:58 - 17:54,12:07 - 17:22,10:09 - 00:00,N,10:43 - 00:00,10:08 - 00:00,17:08 - 00:00,10:56 - 18:44,N,13:55 - 18:11,N,10:43 - 00:00,10:54 - 00:00,10:05 - 00:00,10:58 - 16:22,10:57 - 16:46,10:00 - 18:18,24,0,5
732017,09:48 - 16:40,N,09:40 - 14:25,09:45 - 16:44,09:46 - 16:44,09:52 - 16:39,09:52 - 13:06,09:40 - 16:42,N,09:50 - 16:39,10:01 - 16:37,09:51 - 16:40,09:51 - 16:49,09:46 - 16:48,10:03 - 16:39,N,10:00 - 16:42,09:55 - 16:43,09:53 - 16:42,09:50 - 00:00,N,09:50 - 16:38,N,09:45 - 16:44,09:18 - 16:38,09:52 - 16:41,10:02 - 16:44,09:57 - 16:46,10:00 - 16:43,24,0,5
915638,08:15 - 00:00,N,09:48 - 16:42,08:16 - 14:57,09:48 - 16:48,08:23 - 15:01,09:48 - 16:40,08:14 - 11:32,N,09:49 - 16:41,09:51 - 16:45,10:01 - 16:41,08:14 - 11:28,09:46 - 16:46,08:21 - 15:00,N,09:53 - 00:00,08:15 - 15:07,N,08:58 - 15:49,N,08:13 - 15:06,N,09:48 - 16:53,08:23 - 13:54,09:46 - 16:55,09:46 - 16:44,09:49 - 16:48,08:16 - 14:59,23,0,6
478003,09:31 - 16:42,N,09:39 - 16:48,08:12 - 13:58,N,N,09:45 - 16:46,09:38 - 17:02,N,09:42 - 16:41,09:57 - 16:41,09:43 - 16:37,08:07 - 15:00,08:12 - 15:01,08:12 - 14:57,N,09:29 - 16:47,08:16 - 15:03,08:16 - 15:00,08:14 - 15:20,N,09:42 - 17:22,N,09:35 - 16:45,08:10 - 15:01,08:09 - 14:57,08:11 - 15:16,08:13 - 15:04,09:39 - 16:40,22,0,7
951225,08:51 - 16:49,N,09:07 - 16:46,09:15 - 16:45,09:11 - 16:48,08:59 - 16:39,09:25 - 14:29,09:39 - 17:08,N,10:22 - 16:53,09:13 - 15:38,09:29 - 16:40,09:43 - 13:10,N,N,N,09:14 - 16:44,09:19 - 16:46,09:08 - 16:45,08:46 - 16:46,N,09:51 - 13:32,N,09:54 - 16:48,09:20 - 16:39,09:18 - 16:43,09:42 - 16:45,09:46 - 16:40,09:38 - 16:49,22,0,7
883936,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,29
528673,08:35 - 15:39,N,09:49 - 16:48,08:45 - 00:00,09:38 - 17:00,09:53 - 16:52,08:42 - 15:12,09:48 - 16:46,N,09:52 - 16:50,09:55 - 16:43,09:51 - 16:46,08:58 - 15:34,08:42 - 15:32,N,N,N,08:27 - 15:20,09:50 - 16:44,08:33 - 15:32,N,N,N,09:27 - 17:17,08:28 - 15:11,09:50 - 16:42,09:53 - 16:45,08:26 - 16:46,08:28 - 15:36,21,0,8
765850,10:13 - 16:45,N,10:18 - 16:44,10:28 - 16:57,10:04 - 16:46,10:32 - 16:54,13:42 - 17:08,10:10 - 16:51,N,14:01 - 16:48,10:11 - 16:47,10:33 - 16:45,10:10 - 16:49,10:13 - 16:38,10:24 - 16:38,N,10:12 - 16:44,09:51 - 16:47,10:14 - 16:55,10:08 - 16:42,N,10:10 - 16:51,N,10:22 - 16:49,10:06 - 16:52,10:31 - 16:47,09:57 - 16:38,10:21 - 16:43,09:50 - 16:53,24,0,5
262382,09:48 - 16:40,N,09:50 - 16:40,09:45 - 16:56,09:46 - 00:00,09:48 - 13:30,09:50 - 16:40,09:51 - 12:54,N,09:50 - 15:40,09:57 - 16:40,09:47 - 16:42,09:49 - 16:42,09:50 - 16:43,13:29 - 16:51,N,09:52 - 16:35,09:49 - 16:43,09:51 - 16:40,09:49 - 17:03,N,09:51 - 16:43,N,09:53 - 16:48,09:48 - 16:37,09:49 - 12:49,09:52 - 16:36,09:53 - 16:42,09:47 - 16:49,24,0,5
870820,09:44 - 16:45,N,09:45 - 16:44,08:25 - 15:06,09:49 - 16:46,09:53 - 16:43,09:47 - 16:44,09:44 - 17:20,N,09:46 - 16:51,09:54 - 16:41,09:43 - 16:43,09:48 - 16:50,09:50 - 16:43,09:50 - 16:43,N,08:31 - 15:09,08:16 - 14:59,09:35 - 16:50,09:52 - 16:44,N,09:47 - 16:49,N,09:44 - 16:43,08:24 - 15:09,09:41 - 16:41,09:49 - 16:46,09:45 - 12:50,09:46 - 16:44,24,0,5
806955,09:48 - 16:45,N,09:55 - 16:43,14:11 - 16:57,09:54 - 16:47,09:53 - 16:54,09:48 - 16:49,09:53 - 16:48,N,09:51 - 16:47,09:51 - 16:45,09:51 - 16:44,N,N,09:50 - 16:38,N,09:52 - 16:44,09:53 - 16:46,09:50 - 16:49,N,N,09:49 - 16:51,N,10:03 - 16:47,09:46 - 16:45,09:52 - 16:48,09:50 - 16:37,09:52 - 16:44,09:52 - 16:51,21,0,8
325319,09:30 - 16:42,N,09:42 - 16:48,09:40 - 17:19,09:37 - 16:52,09:28 - 13:22,09:38 - 16:46,09:47 - 00:00,N,09:54 - 16:46,09:56 - 16:39,09:44 - 00:00,N,N,N,N,09:39 - 17:17,09:38 - 16:54,09:39 - 17:07,09:44 - 16:41,N,09:41 - 16:47,N,N,09:45 - 16:48,10:00 - 00:00,09:33 - 16:36,09:36 - 16:45,09:35 - 16:52,20,0,9
623253,N,N,09:51 - 16:41,09:48 - 16:56,09:46 - 16:43,09:52 - 16:55,09:48 - 16:59,09:48 - 16:47,N,09:55 - 16:43,09:56 - 16:45,09:51 - 16:41,09:52 - 16:48,09:43 - 16:41,09:50 - 16:44,N,09:39 - 16:34,09:46 - 16:35,09:47 - 16:53,09:48 - 16:50,N,09:43 - 16:46,N,09:42 - 16:36,09:50 - 16:27,09:48 - 16:30,09:48 - 16:41,09:45 - 16:29,09:49 - 16:29,23,0,6
225925,09:22 - 16:58,N,09:24 - 16:48,09:10 - 16:49,09:28 - 17:00,09:22 - 16:52,09:32 - 16:42,09:24 - 00:00,N,09:31 - 16:45,09:32 - 09:32,09:25 - 16:46,09:21 - 17:06,09:29 - 16:39,09:29 - 17:12,N,09:44 - 16:35,09:30 - 16:46,09:30 - 16:43,09:45 - 16:41,N,09:31 - 16:39,N,09:23 - 16:54,09:19 - 16:43,09:30 - 16:38,09:36 - 16:43,09:31 - 16:46,09:29 - 16:42,24,0,5
761821,08:21 - 14:59,N,12:58 - 16:43,09:47 - 16:56,09:50 - 16:46,09:42 - 16:55,09:46 - 17:06,08:25 - 15:02,N,09:47 - 16:47,09:50 - 16:46,09:46 - 16:44,08:07 - 15:36,N,N,N,09:48 - 16:44,09:50 - 16:46,09:48 - 16:49,09:54 - 16:42,N,08:20 - 15:01,N,08:08 - 15:01,09:45 - 16:45,09:47 - 16:47,09:43 - 16:37,09:48 - 16:44,08:10 - 15:32,22,0,7
400173,N,N,N,09:54 - 17:20,09:49 - 16:44,N,N,09:45 - 17:25,N,09:54 - 16:55,09:58 - 16:44,09:49 - 16:43,09:47 - 16:46,09:49 - 16:45,09:51 - 16:54,N,09:51 - 16:32,09:53 - 16:55,09:49 - 16:37,09:51 - 16:36,N,N,N,N,09:49 - 16:49,09:44 - 16:44,09:56 - 16:34,09:48 - 15:40,09:54 - 16:52,18,0,11
802554,09:50 - 17:00,N,09:48 - 16:45,09:49 - 16:39,09:50 - 16:44,09:49 - 16:40,09:41 - 16:44,09:51 - 16:40,N,09:49 - 16:38,09:51 - 16:44,09:44 - 16:41,09:50 - 16:46,09:48 - 16:46,09:53 - 16:39,N,N,N,N,N,N,12:59 - 16:47,N,09:46 - 16:41,09:45 - 16:49,N,09:47 - 16:34,09:51 - 16:46,09:53 - 16:48,19,0,10
476433,10:04 - 16:55,N,N,09:54 - 17:19,09:48 - 16:44,09:44 - 16:41,09:43 - 00:00,09:45 - 17:25,N,09:54 - 16:46,09:58 - 16:45,09:50 - 16:43,09:47 - 16:47,09:49 - 16:45,09:52 - 00:00,N,09:51 - 16:35,09:53 - 16:55,09:49 - 16:45,09:51 - 16:36,N,N,N,10:17 - 16:47,09:49 - 16:49,09:44 - 16:44,09:56 - 16:34,09:48 - 15:41,09:50 - 16:52,22,0,7
533952,09:49 - 16:45,N,09:05 - 16:43,09:48 - 16:57,09:54 - 16:47,09:49 - 16:56,09:54 - 16:50,09:47 - 16:49,N,09:54 - 12:56,10:09 - 16:47,09:45 - 16:44,10:02 - 16:48,09:50 - 16:38,09:39 - 16:40,N,09:47 - 16:43,09:48 - 16:46,N,09:48 - 16:42,N,09:44 - 16:51,N,09:53 - 16:47,09:47 - 16:43,09:45 - 16:47,09:37 - 16:37,10:04 - 16:44,N,22,0,7
623929,09:26 - 16:45,N,09:41 - 16:48,09:31 - 16:31,N,09:08 - 16:47,09:33 - 16:49,09:34 - 16:54,N,09:39 - 16:45,09:31 - 15:38,N,N,09:29 - 16:46,09:46 - 16:37,N,09:36 - 16:44,09:39 - 16:47,09:35 - 16:43,09:38 - 16:43,N,09:35 - 16:38,N,09:43 - 16:48,09:38 - 16:48,09:41 - 16:49,09:42 - 16:42,09:42 - 16:48,09:37 - 16:45,21,0,8
844177,N,N,09:45 - 16:43,09:48 - 16:57,08:27 - 15:25,09:47 - 16:54,08:36 - 15:24,09:45 - 16:48,N,09:47 - 16:47,09:54 - 16:45,09:50 - 16:46,09:53 - 16:48,08:28 - 15:15,09:50 - 16:38,N,N,09:46 - 16:46,08:11 - 15:28,09:50 - 16:43,N,09:49 - 16:51,N,09:48 - 17:17,09:45 - 16:43,08:11 - 15:07,08:10 - 16:38,09:49 - 16:44,09:59 - 00:00,22,0,7
212893,10:10 - 16:40,N,10:07 - 16:48,10:07 - 16:42,10:06 - 16:40,10:07 - 16:43,10:05 - 16:40,10:11 - 16:38,N,10:02 - 16:39,10:01 - 16:40,N,10:19 - 16:39,10:08 - 16:43,10:10 - 16:40,N,10:05 - 16:41,10:09 - 16:50,10:10 - 16:37,10:14 - 16:56,N,N,N,10:14 - 16:43,10:21 - 16:39,10:08 - 16:38,10:16 - 16:36,10:25 - 15:32,N,21,0,8
185032,09:31 - 16:47,N,09:47 - 16:49,09:50 - 16:56,09:44 - 16:49,09:46 - 16:50,09:46 - 16:46,09:48 - 17:04,N,09:44 - 16:48,09:50 - 16:46,09:45 - 16:44,09:55 - 16:57,09:48 - 16:51,N,N,09:44 - 16:59,09:48 - 16:48,09:44 - 16:47,09:54 - 16:48,N,09:44 - 16:54,N,09:47 - 16:48,09:47 - 16:50,09:50 - 16:48,09:46 - 16:57,09:39 - 16:49,N,22,0,7
867084,09:35 - 16:34,N,08:03 - 15:01,08:04 - 14:54,08:10 - 14:57,07:58 - 14:53,08:02 - 14:55,09:47 - 15:26,N,N,09:53 - 16:37,09:39 - 16:41,09:50 - 13:15,09:45 - 16:36,09:42 - 16:38,N,07:58 - 14:55,07:59 - 14:57,08:01 - 14:57,08:27 - 14:57,N,09:42 - 16:38,N,08:06 - 14:58,N,N,07:58 - 14:55,N,09:45 - 16:37,20,0,9
969964,09:25 - 16:45,N,09:30 - 16:38,09:31 - 16:55,09:36 - 16:29,09:28 - 16:33,09:33 - 16:47,09:38 - 16:48,N,N,09:34 - 16:36,09:35 - 16:36,09:28 - 16:44,09:27 - 16:47,09:28 - 00:00,N,N,09:35 - 16:38,09:33 - 16:37,09:41 - 16:40,N,09:19 - 16:34,N,09:34 - 16:36,09:25 - 16:50,09:25 - 16:37,09:44 - 16:43,09:33 - 16:30,09:31 - 16:51,22,0,7
158666,14:24 - 16:43,N,09:48 - 00:00,10:09 - 17:18,N,09:49 - 16:50,09:50 - 16:42,09:49 - 16:51,N,09:47 - 16:44,09:58 - 16:44,13:36 - 16:44,09:41 - 16:42,09:51 - 16:40,09:42 - 16:42,N,09:48 - 16:43,10:19 - 16:57,N,09:39 - 16:40,N,09:34 - 16:35,N,09:57 - 16:42,13:49 - 16:47,09:49 - 16:42,14:02 - 16:36,10:01 - 16:43,09:51 - 16:44,22,0,7
489424,09:46 - 16:59,N,N,N,09:51 - 16:46,09:48 - 16:40,09:56 - 15:43,08:57 - 17:13,N,17:30 - 00:00,10:30 - 16:51,12:46 - 16:43,10:04 - 16:51,09:49 - 16:47,N,N,09:50 - 16:45,13:39 - 16:39,09:48 - 00:00,09:50 - 16:43,N,09:49 - 16:47,N,08:35 - 15:22,08:28 - 15:00,09:45 - 16:48,09:43 - 16:44,09:47 - 16:45,09:47 - 16:44,21,0,8
639892,09:44 - 16:39,N,09:44 - 16:42,09:49 - 16:39,09:45 - 16:40,09:48 - 16:39,09:45 - 16:38,09:44 - 16:40,N,09:49 - 16:36,10:19 - 16:39,09:50 - 16:39,09:45 - 16:39,09:47 - 16:43,09:48 - 16:39,N,09:48 - 16:35,09:48 - 16:40,N,N,N,09:46 - 16:38,N,09:49 - 16:39,09:45 - 16:41,09:55 - 16:38,09:40 - 16:34,09:44 - 16:42,09:45 - 16:35,22,0,7
704709,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,29
461593,09:45 - 16:46,N,09:55 - 16:44,10:01 - 16:42,N,10:19 - 16:41,10:08 - 16:47,16:47 - 00:00,N,N,09:57 - 16:41,09:55 - 16:37,10:15 - 16:45,09:45 - 16:34,10:20 - 16:33,N,09:59 - 16:40,10:13 - 16:42,10:03 - 16:51,10:09 - 16:27,N,10:10 - 16:48,N,09:58 - 16:57,10:04 - 16:30,10:10 - 16:39,09:42 - 16:39,09:57 - 16:40,10:04 - 16:43,22,0,7
392491,08:37 - 15:16,N,08:35 - 16:55,09:48 - 16:51,09:49 - 16:44,N,N,08:35 - 14:55,N,09:39 - 16:54,09:56 - 16:45,09:48 - 16:45,09:47 - 16:46,09:48 - 16:47,08:31 - 15:04,N,09:47 - 16:42,09:53 - 16:54,09:44 - 16:38,N,N,08:38 - 15:17,N,09:48 - 16:46,09:45 - 16:49,08:32 - 00:00,N,N,09:48 - 16:51,19,0,10
495141,09:32 - 16:45,N,09:35 - 16:43,08:22 - 15:18,08:30 - 14:58,09:41 - 16:42,08:22 - 15:02,N,N,09:48 - 16:27,09:41 - 16:38,09:47 - 16:40,09:41 - 16:42,08:29 - 15:32,N,N,08:30 - 15:16,08:39 - 14:56,08:19 - 15:09,09:41 - 16:39,N,09:47 - 16:46,N,09:43 - 16:44,09:42 - 16:40,09:48 - 16:40,09:44 - 16:39,08:32 - 14:58,08:48 - 14:55,22,0,7
