EmpCode,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,Success (Y),Tried (E),Not Tried (N)
263480,10:48 - 16:34,N,10:31 - 16:36,10:04 - 16:24,09:47 - 16:33,09:51 - 16:24,10:11 - 16:49,10:05 - 17:09,N,09:53 - 17:23,10:05 - 16:34,N,08:16 - 16:34,09:44 - 00:00,10:00 - 13:40,N,10:08 - 16:38,10:03 - 16:41,09:59 - 16:15,09:56 - 16:27,N,10:10 - 16:17,N,09:56 - 16:21,10:04 - 16:21,10:12 - 16:35,09:47 - 16:38,10:02 - 16:44,10:40 - 16:36,23,0,6
683826,09:42 - 16:36,N,09:25 - 14:22,09:40 - 16:34,09:36 - 16:35,09:34 - 16:39,N,N,N,09:46 - 16:36,09:49 - 16:37,09:54 - 16:32,09:46 - 16:43,09:54 - 16:15,09:40 - 16:34,N,09:43 - 16:43,09:42 - 16:41,09:47 - 00:00,09:43 - 16:45,N,09:37 - 00:00,N,09:40 - 16:45,09:40 - 16:37,09:36 - 16:42,09:37 - 16:42,09:41 - 16:36,09:32 - 16:29,22,0,7
474599,08:15 - 15:32,N,09:40 - 16:52,09:38 - 16:45,08:21 - 15:03,08:12 - 15:05,08:24 - 15:11,08:32 - 15:03,N,09:33 - 16:39,09:54 - 16:41,10:17 - 16:39,08:24 - 14:59,08:38 - 15:01,08:17 - 14:57,N,09:50 - 16:45,09:40 - 16:44,08:20 - 15:00,08:13 - 15:17,N,08:14 - 15:01,N,09:32 - 16:47,08:36 - 15:09,08:24 - 14:57,08:20 - 15:04,08:16 - 15:03,08:21 - 13:59,24,0,5
335732,09:46 - 16:51,N,09:57 - 16:54,09:38 - 16:48,N,09:52 - 16:46,09:53 - 16:43,09:42 - 17:01,N,09:48 - 16:47,09:37 - 16:40,09:33 - 16:51,09:24 - 16:44,09:37 - 16:52,09:32 - 17:09,N,09:56 - 16:41,09:40 - 16:52,09:22 - 16:49,09:37 - 16:49,N,09:22 - 16:45,N,09:47 - 17:02,09:49 - 16:50,09:47 - 16:45,09:41 - 16:51,09:54 - 16:28,09:38 - 15:50,23,0,6
329752,09:35 - 16:43,N,14:03 - 16:43,09:36 - 16:53,13:58 - 00:00,09:42 - 16:44,13:47 - 16:32,09:46 - 17:14,N,13:53 - 16:37,11:04 - 16:46,N,09:43 - 16:27,N,09:21 - 16:41,N,N,09:48 - 16:54,16:35 - 00:00,09:45 - 17:19,N,09:30 - 17:02,N,13:59 - 16:56,09:28 - 16:51,12:54 - 16:46,09:23 - 00:00,13:55 - 17:25,09:39 - 16:34,21,0,8
893212,08:26 - 15:00,N,08:27 - 15:05,09:41 - 00:00,08:26 - 00:00,N,N,N,N,09:46 - 16:19,09:48 - 16:37,09:54 - 16:33,N,09:53 - 16:15,09:40 - 16:34,N,N,09:42 - 00:00,08:24 - 14:58,09:43 - 16:47,N,09:37 - 16:51,N,09:39 - 00:00,09:38 - 16:35,08:19 - 14:57,09:37 - 16:42,09:41 - 16:33,09:31 - 16:28,19,0,10
621833,08:20 - 15:35,N,08:21 - 14:59,08:20 - 15:25,08:17 - 15:01,08:15 - 15:00,N,08:11 - 14:59,N,09:48 - 16:43,09:52 - 16:40,N,08:24 - 15:04,08:17 - 15:06,N,N,08:19 - 14:58,08:23 - 15:03,08:21 - 14:59,08:20 - 14:58,N,08:21 - 15:32,N,08:18 - 15:01,08:21 - 15:03,08:23 - 14:57,09:19 - 15:55,08:20 - 15:00,08:21 - 14:59,21,0,8
456747,09:45 - 16:38,N,09:46 - 16:50,09:42 - 16:39,09:31 - 15:41,09:36 - 16:36,09:43 - 16:40,09:56 - 17:13,N,09:35 - 16:39,09:52 - 16:39,09:41 - 16:35,09:46 - 16:44,09:45 - 16:46,N,N,10:04 - 16:48,09:45 - 16:45,09:41 - 16:57,09:48 - 16:47,N,09:37 - 16:39,N,09:34 - 16:44,09:32 - 16:38,09:28 - 16:52,09:23 - 16:51,09:37 - 16:57,09:39 - 16:46,23,0,6
278556,09:44 - 16:37,N,09:45 - 16:45,09:36 - 16:43,09:30 - 16:43,09:36 - 16:33,09:37 - 16:51,N,N,N,09:55 - 16:47,09:35 - 16:34,09:37 - 16:43,09:27 - 16:38,09:33 - 16:35,N,09:40 - 16:45,09:39 - 16:39,09:42 - 16:40,09:40 - 16:39,N,09:42 - 16:45,N,09:41 - 16:25,09:43 - 16:29,09:37 - 16:39,09:29 - 16:33,09:42 - 16:33,09:48 - 16:42,22,0,7
333476,08:02 - 15:20,N,08:02 - 15:22,08:11 - 15:09,08:07 - 15:12,08:04 - 15:13,09:44 - 15:04,08:02 - 15:27,N,N,08:11 - 15:14,08:09 - 14:59,08:14 - 16:03,08:09 - 15:45,13:12 - 16:43,N,08:14 - 15:07,08:13 - 15:11,08:11 - 15:08,N,N,N,N,N,N,N,N,N,N,15,0,14
